base	reading	count
歳	とし	14
斬	や	11
微笑	わら	11
北海道	えぞち	10
守	かみ	7
退	ひ	6
体	てい	6
現在	いま	6
斤	ポンド	6
臥	ね	5
将来	さき	5
小	こ	5
中間	ちゆうげん	5
御徒士	おかち	5
奪	と	5
喪	うしな	5
樹	た	5
訊	き	4
神輿	みこし	4
拵	こしら	4
薙	な	4
妓	おんな	4
切尖	きつさき	4
体	たい	4
戌	いぬ	4
斥候	ものみ	4
肚	はら	4
悪党	ばらがき	4
使番	つかいばん	4
殺	や	4
御預	おあずかり	4
故郷	くに	4
山	やま	4
日和	ひより	4
呼吸	いき	4
者	もの	3
二重	ふたえ	3
宿	しゆく	3
行燈	あんどん	3
姫	ひい	3
発	た	3
巫女	みこ	3
一刻	にじかん	3
勤仕	ごんし	3
巧緻	こうち	3
日向	びなた	3
憑	つ	3
小技	こわざ	3
袈裟	けさ	3
旅籠	はたご	3
白粉	おしろい	3
厭	いや	3
悪戯	いたずら	3
宙	ちゆう	3
摺	す	3
大	おお	3
性分	しようぶん	3
韮山	にらやま	3
蟠踞	ばんきよ	3
義兄	にい	3
遭	あ	3
遁	に	3
舐	な	3
傷	て	3
傭	やと	3
狡猾	こうかつ	3
料簡	りようけん	3
面	つら	3
服	の	3
翳	かげ	3
階下	した	3
脱	ぬ	3
機	しお	3
病源体	ビールス	3
肝煎	きもいり	3
昌宜	まさよし	3
義兄	あに	3
弾	はじ	3
噴	ふ	3
壬生	みぶ	3
他人	ひと	3
人	にん	3
登楼	あが	3
佩刀	はいとう	3
懦弱	だじやく	3
豊玉	ほうぎよく	3
真蒼	まつさお	3
物憂	ものう	3
定府	じようふ	3
野老	ところ	3
殲滅	せんめつ	3
甲冑	かつちゆう	3
法度	はつと	3
尚志	なおむね	3
落籍	ひか	3
癒	なお	3
堕	お	3
戊辰	ぼしん	3
装填	そうてん	3
麾下	きか	3
施条砲	せじようほう	3
勇	いさみ	2
上石原	かみいしわら	2
洒落	しやれ	2
茨垣	ばらがき	2
露	あら	2
大尽	だいじん	2
丑	うし	2
薬研	やげん	2
熱燗	あつかん	2
納屋	なや	2
陽	ひ	2
刻	こく	2
嗅	か	2
軒	のき	2
媾合	こうごう	2
猿渡家	さわたりけ	2
狎	な	2
鞘	さや	2
天領	てんりよう	2
内蔵	くらの	2
助	すけ	2
技	わざ	2
業物	わざもの	2
鑑定	めきき	2
間合	まあい	2
左三巴	ひだりみつどもえ	2
飯盛女	おじやれ	2
田圃	たんぼ	2
垢	あか	2
敵娼	あいかた	2
面	めん	2
月代	さかやき	2
仁	じん	2
馬庭	まにわ	2
頸	くび	2
実家	さと	2
竹刀	しない	2
他行	たぎよう	2
低声	こごえ	2
定法	じようほう	2
出籠手	でごて	2
肘	ひじ	2
試合	よせ	2
仇	あだ	2
風	ふう	2
石翠	せきすい	2
草鞋	わらじ	2
手甲	てつこう	2
脚絆	きやはん	2
流行	はや	2
下刻	げこく	2
募	つの	2
衢地	くち	2
欅	けやき	2
衝	つ	2
斃	たお	2
先	せん	2
粗	あら	2
俄	にわ	2
燧石	いし	2
松明	たいまつ	2
脂	あぶら	2
雁首	がんくび	2
滲	し	2
気組	きぐみ	2
除	の	2
蒙	こうむ	2
竜馬	りようま	2
祟	たた	2
嶮	けわ	2
停止	ちようじ	2
迅	はや	2
乾	かわ	2
十時	よつつ	2
下知	げち	2
猪口	ちよこ	2
下戸	げこ	2
鎖	くさり	2
討	や	2
具足	ぐそく	2
湧	わ	2
頭	がしら	2
麻疹	はしか	2
現代	こんにち	2
洋夷	ようい	2
松屋町	まつちやまち	2
海保帆平	かいほはんぺい	2
慷慨	こうがい	2
大和	やまと	2
湊川	みなとがわ	2
購	もと	2
和泉	いずみの	2
差料	さしりよう	2
挙措	きよそ	2
烏合	うごう	2
門扉	もんぴ	2
須弥壇	しゆみだん	2
厭	いと	2
将軍	たいじゆ	2
旗幟	きし	2
汝	うぬ	2
爪牙	そうが	2
容保	かたもり	2
京洛	けいらく	2
正念場	しようねんば	2
報	し	2
黒谷	くろだに	2
鉄鋲	てつびよう	2
猛者	もさ	2
音	ね	2
撒	ま	2
筆	て	2
懈怠	げたい	2
主税	ちから	2
遊説	ゆうぜい	2
烏丸	からすま	2
鴻池	こうのいけ	2
塔頭	たつちゆう	2
人体	にんてい	2
尚忠	ひさただ	2
詮議	せんぎ	2
鎮	しず	2
一時間	はんとき	2
淹	い	2
葭屋町	よしやまち	2
烝	すすむ	2
鍼医	はりい	2
久坂玄瑞	くさかげんずい	2
情婦	おんな	2
屋	や	2
裸形	らぎよう	2
中壺	なかつぼ	2
隼人	はやと	2
凧	たこ	2
詠	よ	2
漢	おとこ	2
麩屋町	ふやまち	2
小柄	こづか	2
削	そ	2
風情	ふぜい	2
情夫	おとこ	2
楯	だて	2
芳駕籠	よしかご	2
上方	かみがた	2
禁闕	きんけつ	2
現今	いま	2
唐	から	2
下向	げこう	2
元治	げんじ	2
性	しよう	2
牛耳	ぎゆうじ	2
床几	しようぎ	2
企	くわだ	2
実成院	じつじよういん	2
孝允	たかよし	2
鼎蔵	ていぞう	2
佶麿	よしまろ	2
剽悍	ひようかん	2
罷	まか	2
大焚火	おおたきび	2
帷子	かたびら	2
正	しよう	2
風折烏帽子	かざおりえぼし	2
直垂	ひたたれ	2
白絽	しろろ	2
三樹三郎	みきさぶろう	2
宛然	えんぜん	2
当今	いま	2
大蔵	おおくら	2
夷狄	いてき	2
黒羽二重	くろはぶたえ	2
東下	とうげ	2
外様	とざま	2
曝	さら	2
恃	たの	2
苗字	みようじ	2
草莽	そうもう	2
法眼	ほうげん	2
魁	さきがけ	2
仏頂面	ぶつちようづら	2
五月	さつき	2
深雪	みゆき	2
藉	か	2
半刻	はんとき	2
柄高	えだか	2
平星眼	ひらせいがん	2
西洞院	にしのとういん	2
褌	まわし	2
佳	よ	2
応	こた	2
相談	はか	2
本音	ほんね	2
饒舌	じようぜつ	2
此処	ここ	2
油小路	あぶらのこうじ	2
膿	う	2
袂	たもと	2
銭取橋	ぜにとりばし	2
研	と	2
紫陽花	あじさい	2
豪宕	ごうとう	2
並	なみ	2
兵站部	へいたんぶ	2
奔	はし	2
風体	ふうてい	2
裏金	うらきん	2
可笑	おか	2
冠木門	かぶきもん	2
瞼	まぶた	2
御香宮	ごこうのみや	2
山砲	さんぽう	2
蛇	じや	2
墨染	すみぞめ	2
轟	ごう	2
現代	いま	2
弾	たま	2
炸裂	さくれつ	2
物打	ものうち	2
霰弾	さんだん	2
装	よそお	2
背嚢	はいのう	2
修羅場	しゆらば	2
退	しりぞ	2
歩兵頭	ほへいがしら	2
陥	おと	2
武揚	たけあき	2
戎服	じゆうふく	2
大阪湾	ちぬのうみ	2
駿河	するがの	2
相好	そうごう	2
主計	かずえ	2
要	い	2
春日	かすが	2
頭	こうべ	2
聚落	しゆうらく	2
下野	しもつけ	2
錐	きり	2
遮蔽物	しやへいぶつ	2
倦	あ	2
帰趨	きすう	2
潰走	かいそう	2
彫	ほ	2
卓子	テーブル	2
外套	マンテル	2
川汲	かわくみ	2
当別	とうべつ	2
木古内	きこない	2
餞別	せんべつ	2
甲鉄艦	ストーン・ウオール	2
丁卯	ていぼう	2
晨風	しんぷう	2
陸	おか	2
気圧	けお	2
土方歳三	ひじかたとしぞう	1
地言葉	じことば	1
蝮	まむし	1
武蔵	むさし	1
府中	ふちゆう	1
浴衣	ゆかた	1
裾	すそ	1
紺無地幅広	こんむじはばびろ	1
粋	いき	1
素小鬢	すこびん	1
結	ゆ	1
分際	ぶんざい	1
髷	まげ	1
稽古着	けいこぎ	1
強姦	ころ	1
六社明神	ろくしやみようじん	1
三多摩	さんたま	1
一郷	いちごう	1
浄闇	じようあん	1
下谷保	しもやぼう	1
提灯	ちようちん	1
節	ふし	1
茨	いばら	1
戌ノ刻	はちじ	1
地口	じぐち	1
蘇枋色	すおういろ	1
高張	たかはり	1
夜市	よいち	1
羞恥癖	しゆうちへき	1
囃	はや	1
獰猛	どうもう	1
情交	まじわ	1
慄	ふる	1
生娘	きむすめ	1
逗留	とうりゆう	1
散薬	さんやく	1
打身	うちみ	1
専修坊	せんじゆぼう	1
院主	いんじゆ	1
数寄屋造	すきやづく	1
縞	しま	1
股引	ももひき	1
子	ね	1
見映	みば	1
貴	たか	1
小桜	こざくら	1
社家	しやけ	1
巫女舞	みこまい	1
果	は	1
猥雑	わいざつ	1
大国魂	おおくにたま	1
矢声	やごえ	1
渡御	とぎよ	1
男神	おがみ	1
賑	にぎ	1
衣裳	いしよう	1
比翼	ひよく	1
替裾	かわりずそ	1
匂	にお	1
眩惑	めくる	1
錦	にしき	1
海藻	ひじき	1
肌	はだ	1
地肌	じはだ	1
則重	のりしげ	1
越中	えつちゆう	1
香	が	1
五葉菊	ごようぎく	1
従四位下	じゆしいのげ	1
佐絵	さえ	1
蚊帳	かや	1
羞	はず	1
寝間	ねま	1
赤地錦	あかじにしき	1
短刀	さすが	1
